Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
160,2,19,66,14,17,28,133,34,0.032,0.104,0.892,0.192,0.298,0.259,0.864,0.829
161,53,154,6,54,29,82,134,34,0.855,0.846,0.081,0.74,0.509,0.759,0.87,0.829
162,8,91,66,54,25,24,132,32,0.129,0.5,0.892,0.74,0.439,0.222,0.857,0.78
163,3,149,66,57,30,26,132,34,0.048,0.819,0.892,0.781,0.526,0.241,0.857,0.829
164,2,147,8,42,27,24,132,34,0.032,0.808,0.108,0.575,0.474,0.222,0.857,0.829
165,5,6,1,42,26,6,133,32,0.081,0.033,0.014,0.575,0.456,0.056,0.864,0.78
166,5,8,67,41,38,23,133,34,0.081,0.044,0.905,0.562,0.667,0.213,0.864,0.829
167,47,146,67,42,22,81,131,34,0.758,0.802,0.905,0.575,0.386,0.75,0.851,0.829
168,3,5,0,23,7,0,24,33,0.048,0.027,0.0,0.315,0.123,0.0,0.156,0.805
169,0,0,5,0,8,5,10,31,0.0,0.0,0.068,0.0,0.14,0.046,0.065,0.756
170,3,3,62,0,13,8,37,26,0.048,0.016,0.838,0.0,0.228,0.074,0.24,0.634
171,3,5,1,40,12,1,8,31,0.048,0.027,0.014,0.548,0.211,0.009,0.052,0.756
172,4,0,0,14,20,0,1,27,0.065,0.0,0.0,0.192,0.351,0.0,0.006,0.659
173,57,143,65,37,39,78,134,9,0.919,0.786,0.878,0.507,0.684,0.722,0.87,0.22
174,17,14,1,58,25,0,4,3,0.274,0.077,0.014,0.795,0.439,0.0,0.026,0.073
175,6,4,4,58,17,2,2,2,0.097,0.022,0.054,0.795,0.298,0.019,0.013,0.049
176,5,3,0,58,23,0,2,4,0.081,0.016,0.0,0.795,0.404,0.0,0.013,0.098
177,54,21,0,56,32,9,1,1,0.871,0.115,0.0,0.767,0.561,0.083,0.006,0.024
178,56,12,0,59,33,8,1,0,0.903,0.066,0.0,0.808,0.579,0.074,0.006,0.0
179,52,13,1,52,33,8,9,1,0.839,0.071,0.014,0.712,0.579,0.074,0.058,0.024
180,57,147,0,57,33,16,1,0,0.919,0.808,0.0,0.781,0.579,0.148,0.006,0.0
181,54,147,0,57,31,8,0,0,0.871,0.808,0.0,0.781,0.544,0.074,0.0,0.0
182,55,17,0,59,32,8,1,0,0.887,0.093,0.0,0.808,0.561,0.074,0.006,0.0
183,57,148,0,59,34,8,3,0,0.919,0.813,0.0,0.808,0.596,0.074,0.019,0.0
184,57,147,1,59,34,7,4,0,0.919,0.808,0.014,0.808,0.596,0.065,0.026,0.0
185,2,2,64,0,13,3,2,32,0.032,0.011,0.865,0.0,0.228,0.028,0.013,0.78
186,56,145,0,59,32,8,2,1,0.903,0.797,0.0,0.808,0.561,0.074,0.013,0.024
187,56,19,0,59,34,7,1,0,0.903,0.104,0.0,0.808,0.596,0.065,0.006,0.0
188,54,9,0,58,34,1,0,0,0.871,0.049,0.0,0.795,0.596,0.009,0.0,0.0
189,8,141,0,0,26,8,7,1,0.129,0.775,0.0,0.0,0.456,0.074,0.045,0.024
190,51,143,0,58,16,11,1,0,0.823,0.786,0.0,0.795,0.281,0.102,0.006,0.0
191,53,148,5,59,24,44,127,2,0.855,0.813,0.068,0.808,0.421,0.407,0.825,0.049
192,51,145,4,59,25,25,11,1,0.823,0.797,0.054,0.808,0.439,0.231,0.071,0.024
193,53,147,66,27,28,47,125,30,0.855,0.808,0.892,0.37,0.491,0.435,0.812,0.732
194,53,141,0,58,33,4,0,0,0.855,0.775,0.0,0.795,0.579,0.037,0.0,0.0
195,10,147,4,58,39,20,3,1,0.161,0.808,0.054,0.795,0.684,0.185,0.019,0.024
196,18,143,0,0,9,15,3,1,0.29,0.786,0.0,0.0,0.158,0.139,0.019,0.024
197,56,18,4,57,41,10,6,1,0.903,0.099,0.054,0.781,0.719,0.093,0.039,0.024
198,21,144,2,59,16,77,127,1,0.339,0.791,0.027,0.808,0.281,0.713,0.825,0.024
199,7,144,61,1,15,77,121,32,0.113,0.791,0.824,0.014,0.263,0.713,0.786,0.78
200,53,16,0,59,33,2,1,0,0.855,0.088,0.0,0.808,0.579,0.019,0.006,0.0
201,55,16,0,59,34,9,1,1,0.887,0.088,0.0,0.808,0.596,0.083,0.006,0.024
202,13,143,4,19,37,70,1,0,0.21,0.786,0.054,0.26,0.649,0.648,0.006,0.0
203,6,135,63,1,16,72,115,32,0.097,0.742,0.851,0.014,0.281,0.667,0.747,0.78
204,52,141,4,56,41,77,10,1,0.839,0.775,0.054,0.767,0.719,0.713,0.065,0.024
205,45,135,4,17,14,77,6,0,0.726,0.742,0.054,0.233,0.246,0.713,0.039,0.0
206,50,143,4,58,25,77,6,1,0.806,0.786,0.054,0.795,0.439,0.713,0.039,0.024
207,44,12,0,25,13,9,2,0,0.71,0.066,0.0,0.342,0.228,0.083,0.013,0.0
208,50,149,4,55,24,78,7,1,0.806,0.819,0.054,0.753,0.421,0.722,0.045,0.024
209,50,145,4,59,24,28,4,1,0.806,0.797,0.054,0.808,0.421,0.259,0.026,0.024
210,52,141,64,25,26,32,127,33,0.839,0.775,0.865,0.342,0.456,0.296,0.825,0.805
211,50,146,4,59,24,29,6,1,0.806,0.802,0.054,0.808,0.421,0.269,0.039,0.024
212,50,144,4,59,26,29,9,1,0.806,0.791,0.054,0.808,0.456,0.269,0.058,0.024
213,50,145,4,57,26,21,10,1,0.806,0.797,0.054,0.781,0.456,0.194,0.065,0.024
214,5,137,0,18,5,14,8,1,0.081,0.753,0.0,0.247,0.088,0.13,0.052,0.024
215,55,8,0,59,31,1,0,0,0.887,0.044,0.0,0.808,0.544,0.009,0.0,0.0
216,52,7,0,59,34,1,0,1,0.839,0.038,0.0,0.808,0.596,0.009,0.0,0.024
217,54,28,0,58,34,5,1,1,0.871,0.154,0.0,0.795,0.596,0.046,0.006,0.024
218,56,25,0,56,34,8,5,1,0.903,0.137,0.0,0.767,0.596,0.074,0.032,0.024
219,54,8,0,58,32,8,3,2,0.871,0.044,0.0,0.795,0.561,0.074,0.019,0.049
220,51,5,0,58,33,1,0,0,0.823,0.027,0.0,0.795,0.579,0.009,0.0,0.0
221,53,6,4,57,40,2,0,0,0.855,0.033,0.054,0.781,0.702,0.019,0.0,0.0
222,52,14,0,57,33,6,1,1,0.839,0.077,0.0,0.781,0.579,0.056,0.006,0.024
223,56,134,0,58,33,10,1,0,0.903,0.736,0.0,0.795,0.579,0.093,0.006,0.0
224,52,5,0,57,34,1,0,0,0.839,0.027,0.0,0.781,0.596,0.009,0.0,0.0
225,54,7,0,58,32,1,0,0,0.871,0.038,0.0,0.795,0.561,0.009,0.0,0.0
226,53,140,0,58,31,3,0,0,0.855,0.769,0.0,0.795,0.544,0.028,0.0,0.0
227,49,135,0,57,16,3,0,0,0.79,0.742,0.0,0.781,0.281,0.028,0.0,0.0
228,51,5,0,58,33,1,0,0,0.823,0.027,0.0,0.795,0.579,0.009,0.0,0.0
229,53,140,1,58,33,2,0,0,0.855,0.769,0.014,0.795,0.579,0.019,0.0,0.0
230,48,6,0,58,17,1,0,0,0.774,0.033,0.0,0.795,0.298,0.009,0.0,0.0
231,50,8,0,58,17,1,0,0,0.806,0.044,0.0,0.795,0.298,0.009,0.0,0.0
232,55,142,0,58,33,3,0,0,0.887,0.78,0.0,0.795,0.579,0.028,0.0,0.0
233,47,8,0,57,32,6,2,0,0.758,0.044,0.0,0.781,0.561,0.056,0.013,0.0
234,55,7,0,58,33,6,2,0,0.887,0.038,0.0,0.795,0.579,0.056,0.013,0.0
235,1,8,60,0,5,64,116,32,0.016,0.044,0.811,0.0,0.088,0.593,0.753,0.78
236,0,9,0,0,1,47,6,5,0.0,0.049,0.0,0.0,0.018,0.435,0.039,0.122
237,34,3,5,0,10,54,113,0,0.548,0.016,0.068,0.0,0.175,0.5,0.734,0.0
238,4,7,1,22,2,5,111,1,0.065,0.038,0.014,0.301,0.035,0.046,0.721,0.024
239,30,6,6,0,11,4,112,26,0.484,0.033,0.081,0.0,0.193,0.037,0.727,0.634
240,1,2,4,17,14,1,0,27,0.016,0.011,0.054,0.233,0.246,0.009,0.0,0.659
241,34,142,60,36,22,67,116,25,0.548,0.78,0.811,0.493,0.386,0.62,0.753,0.61
242,3,7,0,0,2,65,5,2,0.048,0.038,0.0,0.0,0.035,0.602,0.032,0.049
243,2,1,4,0,1,70,7,2,0.032,0.005,0.054,0.0,0.018,0.648,0.045,0.049
244,35,135,59,0,19,75,112,20,0.565,0.742,0.797,0.0,0.333,0.694,0.727,0.488
245,32,136,60,0,19,81,116,26,0.516,0.747,0.811,0.0,0.333,0.75,0.753,0.634
246,33,137,60,0,17,80,117,19,0.532,0.753,0.811,0.0,0.298,0.741,0.76,0.463
247,33,137,61,0,19,79,116,19,0.532,0.753,0.824,0.0,0.333,0.731,0.753,0.463
248,32,4,5,0,12,61,117,30,0.516,0.022,0.068,0.0,0.211,0.565,0.76,0.732
249,35,6,6,0,13,80,117,19,0.565,0.033,0.081,0.0,0.228,0.741,0.76,0.463
250,29,122,60,0,19,54,112,16,0.468,0.67,0.811,0.0,0.333,0.5,0.727,0.39
251,1,0,1,0,2,0,18,17,0.016,0.0,0.014,0.0,0.035,0.0,0.117,0.415
252,0,0,46,0,18,14,86,21,0.0,0.0,0.622,0.0,0.316,0.13,0.558,0.512
253,0,0,46,0,9,4,85,21,0.0,0.0,0.622,0.0,0.158,0.037,0.552,0.512
254,26,64,41,36,27,8,88,2,0.419,0.352,0.554,0.493,0.474,0.074,0.571,0.049
255,23,8,4,35,11,1,0,0,0.371,0.044,0.054,0.479,0.193,0.009,0.0,0.0
256,24,4,0,36,12,2,1,0,0.387,0.022,0.0,0.493,0.211,0.019,0.006,0.0
257,57,152,72,1,23,98,130,32,0.919,0.835,0.973,0.014,0.404,0.907,0.844,0.78
258,7,5,4,44,18,1,0,1,0.113,0.027,0.054,0.603,0.316,0.009,0.0,0.024
259,45,148,73,17,33,78,127,36,0.726,0.813,0.986,0.233,0.579,0.722,0.825,0.878
260,36,51,73,48,32,42,129,36,0.581,0.28,0.986,0.658,0.561,0.389,0.838,0.878
261,38,51,73,48,32,41,128,36,0.613,0.28,0.986,0.658,0.561,0.38,0.831,0.878
