Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
149,0.0,1.0,3.0,1.0,5.0,0.0,8.0,36.0,0.0,0.014,0.016,0.014,0.088,0.0,0.052,0.878
150,45.0,0.0,148.0,63.0,18.0,84.0,118.0,35.0,0.726,0.0,0.813,0.851,0.316,0.778,0.766,0.854
151,3.0,8.0,20.0,66.0,17.0,47.0,105.0,35.0,0.048,0.11,0.11,0.892,0.298,0.435,0.682,0.854
152,6.0,44.0,144.0,64.0,30.0,22.0,129.0,35.0,0.097,0.603,0.791,0.865,0.526,0.204,0.838,0.854
153,1.0,0.0,7.0,64.0,17.0,4.0,128.0,35.0,0.016,0.0,0.038,0.865,0.298,0.037,0.831,0.854
154,1.0,1.0,4.0,67.0,16.0,4.0,132.0,35.0,0.016,0.014,0.022,0.905,0.281,0.037,0.857,0.854
155,2.0,42.0,143.0,67.0,31.0,24.0,132.0,36.0,0.032,0.575,0.786,0.905,0.544,0.222,0.857,0.878
156,1.0,11.0,3.0,67.0,17.0,6.0,131.0,36.0,0.016,0.151,0.016,0.905,0.298,0.056,0.851,0.878
157,1.0,39.0,7.0,67.0,20.0,5.0,131.0,33.0,0.016,0.534,0.038,0.905,0.351,0.046,0.851,0.805
158,1.0,42.0,6.0,5.0,19.0,7.0,133.0,36.0,0.016,0.575,0.033,0.068,0.333,0.065,0.864,0.878
159,42.0,54.0,152.0,67.0,29.0,83.0,134.0,36.0,0.677,0.74,0.835,0.905,0.509,0.769,0.87,0.878
160,2.0,14.0,19.0,66.0,17.0,28.0,133.0,36.0,0.032,0.192,0.104,0.892,0.298,0.259,0.864,0.878
161,53.0,54.0,154.0,6.0,29.0,82.0,134.0,36.0,0.855,0.74,0.846,0.081,0.509,0.759,0.87,0.878
162,8.0,54.0,91.0,66.0,25.0,24.0,132.0,34.0,0.129,0.74,0.5,0.892,0.439,0.222,0.857,0.829
163,3.0,57.0,149.0,66.0,30.0,26.0,132.0,36.0,0.048,0.781,0.819,0.892,0.526,0.241,0.857,0.878
164,2.0,42.0,147.0,8.0,27.0,24.0,132.0,36.0,0.032,0.575,0.808,0.108,0.474,0.222,0.857,0.878
165,5.0,42.0,6.0,1.0,26.0,6.0,133.0,34.0,0.081,0.575,0.033,0.014,0.456,0.056,0.864,0.829
166,5.0,41.0,8.0,67.0,38.0,23.0,133.0,36.0,0.081,0.562,0.044,0.905,0.667,0.213,0.864,0.878
167,47.0,42.0,146.0,67.0,22.0,81.0,131.0,36.0,0.758,0.575,0.802,0.905,0.386,0.75,0.851,0.878
168,3.0,23.0,5.0,0.0,7.0,0.0,24.0,34.0,0.048,0.315,0.027,0.0,0.123,0.0,0.156,0.829
169,0.0,0.0,0.0,5.0,8.0,5.0,10.0,33.0,0.0,0.0,0.0,0.068,0.14,0.046,0.065,0.805
170,3.0,0.0,3.0,62.0,13.0,8.0,37.0,28.0,0.048,0.0,0.016,0.838,0.228,0.074,0.24,0.683
171,3.0,40.0,5.0,1.0,12.0,1.0,8.0,33.0,0.048,0.548,0.027,0.014,0.211,0.009,0.052,0.805
172,4.0,14.0,0.0,0.0,20.0,0.0,1.0,27.0,0.065,0.192,0.0,0.0,0.351,0.0,0.006,0.659
173,57.0,37.0,143.0,65.0,39.0,78.0,134.0,9.0,0.919,0.507,0.786,0.878,0.684,0.722,0.87,0.22
174,17.0,58.0,14.0,1.0,25.0,0.0,4.0,3.0,0.274,0.795,0.077,0.014,0.439,0.0,0.026,0.073
175,6.0,58.0,4.0,4.0,17.0,2.0,2.0,4.0,0.097,0.795,0.022,0.054,0.298,0.019,0.013,0.098
176,5.0,58.0,3.0,0.0,23.0,0.0,2.0,4.0,0.081,0.795,0.016,0.0,0.404,0.0,0.013,0.098
